ID,Class
CHNCXR_0025_0,XRay
CHNCXR_0036_0,XRay
CHNCXR_0037_0,XRay
CHNCXR_0038_0,XRay
CHNCXR_0039_0,XRay
CHNCXR_0040_0,XRay
CHNCXR_0065_0,XRay
CHNCXR_0181_0,XRay
CHNCXR_0182_0,XRay
CHNCXR_0183_0,XRay
CHNCXR_0184_0,XRay
CHNCXR_0185_0,XRay
CHNCXR_0186_0,XRay
CHNCXR_0187_0,XRay
CHNCXR_0188_0,XRay
CHNCXR_0189_0,XRay
CHNCXR_0190_0,XRay
CHNCXR_0191_0,XRay
CHNCXR_0192_0,XRay
CHNCXR_0193_0,XRay
CHNCXR_0194_0,XRay
CHNCXR_0195_0,XRay
CHNCXR_0196_0,XRay
CHNCXR_0197_0,XRay
CHNCXR_0198_0,XRay
CHNCXR_0199_0,XRay
CHNCXR_0200_0,XRay
CHNCXR_0201_0,XRay
CHNCXR_0202_0,XRay
CHNCXR_0203_0,XRay
CHNCXR_0204_0,XRay
CHNCXR_0205_0,XRay
CHNCXR_0206_0,XRay
CHNCXR_0207_0,XRay
CHNCXR_0208_0,XRay
CHNCXR_0209_0,XRay
CHNCXR_0210_0,XRay
CHNCXR_0211_0,XRay
CHNCXR_0212_0,XRay
CHNCXR_0213_0,XRay
CHNCXR_0214_0,XRay
CHNCXR_0215_0,XRay
CHNCXR_0216_0,XRay
CHNCXR_0217_0,XRay
CHNCXR_0218_0,XRay
CHNCXR_0219_0,XRay
CHNCXR_0220_0,XRay
CHNCXR_0336_1,XRay
CHNCXR_0341_1,XRay
CHNCXR_0342_1,XRay
CHNCXR_0343_1,XRay
CHNCXR_0344_1,XRay
CHNCXR_0345_1,XRay
CHNCXR_0346_1,XRay
CHNCXR_0347_1,XRay
CHNCXR_0348_1,XRay
CHNCXR_0349_1,XRay
CHNCXR_0350_1,XRay
CHNCXR_0351_1,XRay
CHNCXR_0352_1,XRay
CHNCXR_0353_1,XRay
CHNCXR_0354_1,XRay
CHNCXR_0355_1,XRay
CHNCXR_0356_1,XRay
CHNCXR_0357_1,XRay
CHNCXR_0358_1,XRay
CHNCXR_0359_1,XRay
CHNCXR_0360_1,XRay
CHNCXR_0481_1,XRay
CHNCXR_0482_1,XRay
CHNCXR_0483_1,XRay
CHNCXR_0484_1,XRay
CHNCXR_0485_1,XRay
CHNCXR_0486_1,XRay
CHNCXR_0487_1,XRay
CHNCXR_0488_1,XRay
CHNCXR_0489_1,XRay
CHNCXR_0490_1,XRay
CHNCXR_0491_1,XRay
CHNCXR_0492_1,XRay
CHNCXR_0493_1,XRay
CHNCXR_0494_1,XRay
CHNCXR_0495_1,XRay
CHNCXR_0496_1,XRay
CHNCXR_0497_1,XRay
CHNCXR_0498_1,XRay
CHNCXR_0499_1,XRay
CHNCXR_0500_1,XRay
CHNCXR_0502_1,XRay
CHNCXR_0505_1,XRay
CHNCXR_0560_1,XRay
CHNCXR_0561_1,XRay
CHNCXR_0562_1,XRay
CHNCXR_0563_1,XRay
CHNCXR_0564_1,XRay
CHNCXR_0565_1,XRay
image_set1_1,MRI
image_set1_10,MRI
image_set1_100,MRI
image_set1_11,MRI
image_set1_12,MRI
image_set1_13,MRI
image_set1_14,MRI
image_set1_15,MRI
image_set1_16,MRI
image_set1_17,MRI
image_set1_18,MRI
image_set1_19,MRI
image_set1_2,MRI
image_set1_20,MRI
image_set1_21,MRI
image_set1_22,MRI
image_set1_23,MRI
image_set1_24,MRI
image_set1_25,MRI
image_set1_26,MRI
image_set1_27,MRI
image_set1_28,MRI
image_set1_29,MRI
image_set1_3,MRI
image_set1_30,MRI
image_set1_31,MRI
image_set1_32,MRI
image_set1_33,MRI
image_set1_34,MRI
image_set1_35,MRI
image_set1_36,MRI
image_set1_37,MRI
image_set1_38,MRI
image_set1_39,MRI
image_set1_4,MRI
image_set1_40,MRI
image_set1_41,MRI
image_set1_42,MRI
image_set1_43,MRI
image_set1_44,MRI
image_set1_45,MRI
image_set1_46,MRI
image_set1_47,MRI
image_set1_48,MRI
image_set1_49,MRI
image_set1_5,MRI
image_set1_50,MRI
image_set1_51,MRI
image_set1_52,MRI
image_set1_53,MRI
image_set1_54,MRI
image_set1_55,MRI
image_set1_56,MRI
image_set1_57,MRI
image_set1_58,MRI
image_set1_59,MRI
image_set1_6,MRI
image_set1_60,MRI
image_set1_61,MRI
image_set1_62,MRI
image_set1_63,MRI
image_set1_64,MRI
image_set1_65,MRI
image_set1_66,MRI
image_set1_67,MRI
image_set1_68,MRI
image_set1_69,MRI
image_set1_7,MRI
image_set1_70,MRI
image_set1_71,MRI
image_set1_72,MRI
image_set1_73,MRI
image_set1_74,MRI
image_set1_75,MRI
image_set1_76,MRI
image_set1_77,MRI
image_set1_78,MRI
image_set1_79,MRI
image_set1_8,MRI
image_set1_80,MRI
image_set1_81,MRI
image_set1_82,MRI
image_set1_83,MRI
image_set1_84,MRI
image_set1_85,MRI
image_set1_86,MRI
image_set1_87,MRI
image_set1_88,MRI
image_set1_89,MRI
image_set1_9,MRI
image_set1_90,MRI
image_set1_91,MRI
image_set1_92,MRI
image_set1_93,MRI
image_set1_94,MRI
image_set1_95,MRI
image_set1_96,MRI
image_set1_97,MRI
image_set1_98,MRI
image_set1_99,MRI
image_set2_1,MRI
image_set2_10,MRI
image_set2_100,MRI
image_set2_101,MRI
image_set2_102,MRI
image_set2_103,MRI
image_set2_104,MRI
image_set2_105,MRI
image_set2_106,MRI
image_set2_107,MRI
image_set2_108,MRI
image_set2_109,MRI
image_set2_11,MRI
image_set2_110,MRI
image_set2_111,MRI
image_set2_112,MRI
image_set2_113,MRI
image_set2_114,MRI
image_set2_115,MRI
image_set2_12,MRI
image_set2_13,MRI
image_set2_14,MRI
image_set2_15,MRI
image_set2_16,MRI
image_set2_17,MRI
image_set2_18,MRI
image_set2_19,MRI
image_set2_2,MRI
image_set2_20,MRI
image_set2_21,MRI
image_set2_22,MRI
image_set2_23,MRI
image_set2_24,MRI
image_set2_25,MRI
image_set2_26,MRI
image_set2_27,MRI
image_set2_28,MRI
image_set2_29,MRI
image_set2_3,MRI
image_set2_30,MRI
image_set2_31,MRI
image_set2_32,MRI
image_set2_33,MRI
image_set2_34,MRI
image_set2_35,MRI
image_set2_36,MRI
image_set2_37,MRI
image_set2_38,MRI
image_set2_39,MRI
image_set2_4,MRI
image_set2_40,MRI
image_set2_41,MRI
image_set2_42,MRI
image_set2_43,MRI
image_set2_44,MRI
image_set2_45,MRI
